iso,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000_2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018
OMN,10,30959481,1225,630,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
OMN,15,30959481,186,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMN,20,30959481,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMN,25,30959481,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMN,30,30959481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMN,50,30959481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMN,75,30959481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK,10,87477910,1631432,1002575,138,221,333,658,1195,972,1372,1157,1082,965,737,474,257,78,48,4,0,209,87
PAK,15,87477910,1292488,851398,113,221,330,652,1178,959,1362,1143,1070,937,733,471,250,70,45,3,0,201,82
PAK,20,87477910,1224060,821920,107,218,328,649,1173,953,1351,1130,1062,927,727,468,246,67,44,3,0,199,80
PAK,25,87477910,1075483,673470,101,218,326,644,1170,949,1347,1123,1057,923,721,466,244,63,41,2,0,197,80
PAK,30,87477910,979466,648755,95,218,325,640,1168,949,1345,1122,1056,920,720,463,236,59,40,2,0,190,76
PAK,50,87477910,667442,370897,55,196,278,563,1046,828,1188,990,933,814,659,419,199,34,24,1,0,154,59
PAK,75,87477910,335091,164234,21,116,179,354,585,422,631,507,537,437,420,273,134,9,9,0,0,77,22
PAN,10,7546887,5959934,5758918,17141,18420,19401,11411,17000,12478,34695,20838,40360,37408,15518,23283,17237,14249,14316,10719,17581,31628,28712
PAN,15,7546887,5889196,5694023,16719,18398,19369,11388,16974,12458,34641,20801,40294,37327,15502,23248,17199,14197,14254,10676,17499,31413,28485
PAN,20,7546887,5824404,5669710,16335,18366,19326,11366,16940,12435,34563,20767,40204,37230,15488,23218,17162,14148,14180,10636,17431,31233,28304
PAN,25,7546887,5780706,5625383,15967,18345,19299,11349,16918,12418,34510,20744,40142,37158,15475,23202,17134,14122,14138,10617,17402,31139,28210
PAN,30,7546887,5717306,5562465,15573,18319,19265,11324,16882,12385,34430,20700,40043,37047,15452,23162,17095,14075,14074,10572,17352,30959,28037
PAN,50,7546887,5470456,5192427,13281,17922,18774,11024,16483,12098,33459,20193,39046,35877,15244,22800,16704,13839,13743,10361,17049,30057,27176
PAN,75,7546887,4982950,4724921,9864,16314,16361,9676,14768,11113,29362,17839,35246,31611,14371,21290,15207,13092,12686,9657,16105,27143,24378
PER,10,129441215,79141430,79964923,134961,86279,80734,74129,101634,163426,89157,116016,126898,178334,142640,125574,276319,210595,206728,167303,232448,305784,212892
PER,15,129441215,78780385,79682951,134211,86228,80686,74083,101583,163368,89113,115983,126865,178269,142599,125532,276169,210270,206390,167112,232108,305139,212623
PER,20,129441215,78512650,79592500,133402,86164,80619,74033,101522,163288,89068,115936,126812,178206,142540,125477,275985,209960,206087,166939,231768,304558,212374
PER,25,129441215,78310662,79354100,132161,86129,80575,73992,101481,163234,89036,115908,126776,178152,142506,125436,275874,209711,205880,166799,231508,304129,212168
PER,30,129441215,78145162,78839513,130960,86077,80519,73944,101430,163158,88990,115867,126728,178077,142451,125378,275705,209481,205609,166615,231145,303547,211896
PER,50,129441215,76887225,77068866,123975,85382,79753,73283,100736,162083,88351,115210,126052,177121,141653,124656,273787,207259,203355,164921,228223,298594,209734
PER,75,129441215,74526930,75187212,112334,83833,78074,71761,98959,158766,86640,113557,124377,174625,139697,122822,268613,201935,197058,159823,219714,283575,203233
PHL,10,29787012,19893390,19706940,152103,35515,32677,35481,48960,50270,57895,67090,38963,61504,103666,33512,60385,60610,106498,68648,135177,119622,73924
PHL,15,29787012,19475831,19165910,147610,35458,32596,35408,48895,50146,57813,66939,38909,61387,103459,33469,60206,60143,105387,67894,133496,118136,72936
PHL,20,29787012,19255102,19040983,144267,35404,32531,35344,48825,50057,57756,66850,38873,61285,103317,33439,60073,59878,104784,67507,132632,117382,72441
PHL,25,29787012,19082846,18791197,142316,35357,32491,35301,48793,50018,57713,66793,38852,61225,103221,33417,60006,59724,104477,67311,132225,117008,72195
PHL,30,29787012,18686243,18478534,138367,35304,32432,35263,48741,49934,57629,66705,38816,61125,103061,33370,59818,59088,102859,66092,129572,114712,70764
PHL,50,29787012,17495072,16901649,124672,34602,31794,34782,48191,49246,56992,65899,38488,60238,101544,33056,58812,57597,99563,64039,124937,110695,68126
PHL,75,29787012,14172279,13941666,80763,31297,28695,32081,44956,45201,52875,60740,36043,54729,92522,31031,53676,50035,82425,51736,98544,88175,54288
PLW,10,50322,42608,41754,98,53,78,18,29,43,36,92,66,30,34,31,28,22,97,0,0,0,4
PLW,15,50322,42269,41416,94,53,78,18,29,43,36,92,66,30,34,31,28,22,97,0,0,0,4
PLW,20,50322,42046,41320,92,53,78,18,29,43,36,92,66,30,34,31,28,21,96,0,0,0,4
PLW,25,50322,41930,41152,88,53,78,18,29,42,36,92,66,30,34,31,28,21,96,0,0,0,4
PLW,30,50322,41665,40937,84,53,78,18,29,42,36,92,66,30,34,31,28,21,94,0,0,0,4
PLW,50,50322,40533,38981,71,52,78,18,28,42,36,90,66,30,34,31,28,20,92,0,0,0,4
PLW,75,50322,37780,36621,42,50,73,17,25,42,33,83,64,29,31,28,27,17,86,0,0,0,4
PNG,10,46438536,43733036,43745935,169016,36103,54725,31867,58550,39109,56526,49275,71216,49329,68918,53196,73551,57278,106421,182205,179200,118617,118557
PNG,15,46438536,43452111,43423268,166051,36084,54687,31851,58486,39087,56490,49242,71176,49300,68884,53158,73496,57094,106225,181860,178888,118332,118403
PNG,20,46438536,43313451,43350672,163339,36066,54664,31843,58450,39070,56466,49232,71150,49286,68859,53137,73464,56968,106061,181563,178555,118098,118271
PNG,25,46438536,43182489,43185389,161891,36053,54637,31835,58415,39056,56445,49220,71131,49267,68844,53119,73437,56867,105956,181361,178360,117910,118179
PNG,30,46438536,42963161,42962396,160302,36028,54612,31827,58376,39039,56426,49205,71101,49248,68821,53097,73404,56709,105750,180931,178016,117590,118024
PNG,50,46438536,42016783,41741349,150632,35809,54243,31696,57862,38837,56156,48995,70729,48986,68537,52848,73088,55954,104675,178685,175483,116005,117180
PNG,75,46438536,39684575,39330812,117456,34397,51861,30927,55244,37330,54327,47757,68716,47360,66750,51548,71394,53179,99074,166072,158874,109330,112695
POL,10,31350864,11218876,11539116,110951,19279,31429,33692,42393,83215,38069,57819,48424,47399,72531,57217,55543,35587,57362,43521,88173,98122,98499
POL,15,31350864,10942592,11105541,96381,19202,31296,33556,42182,82945,37913,57632,48249,47221,72250,57018,55356,35436,57089,43308,87713,97590,98039
